Rank,Population Density ▲,County , Population
52,39.2/sq mi,"Bacon, GA ","11,196"
53,39.5/sq mi,"Long, GA ","15,967"
54,39.6/sq mi,"Ware, GA ","35,915"
55,39.9/sq mi,"Greene, GA ","16,190"
56,41.3/sq mi,"Brantley, GA ","18,463"
57,41.7/sq mi,"Berrien, GA ","19,091"
58,42.4/sq mi,"Meriwether, GA ","21,434"
59,42.5/sq mi,"Dodge, GA ","21,365"
60,43.2/sq mi,"Rabun, GA ","16,267"
61,44.1/sq mi,"Decatur, GA ","27,508"
62,44.4/sq mi,"Candler, GA ","11,056"
63,44.8/sq mi,"Jeff Davis, GA ","15,028"
64,45.1/sq mi,"Mitchell, GA ","23,175"
65,46.5/sq mi,"Wayne, GA ","30,170"
66,46.5/sq mi,"Pulaski, GA ","11,693"
67,47.2/sq mi,"Chattahoochee, GA ","11,846"
68,50.4/sq mi,"Morgan, GA ","17,866"
69,51.8/sq mi,"Lanier, GA ","10,356"
70,51.9/sq mi,"Tattnall, GA ","25,356"
71,52.6/sq mi,"Elbert, GA ","19,694"
72,54.8/sq mi,"Grady, GA ","25,239"
73,54.9/sq mi,"Pierce, GA ","18,860"
74,58.2/sq mi,"Evans, GA ","10,868"
75,58.7/sq mi,"Laurens, GA ","48,028"
76,58.8/sq mi,"Putnam, GA ","21,226"
77,58.9/sq mi,"Bleckley, GA ","12,912"
78,60.3/sq mi,"Fannin, GA ","23,632"
79,62.0/sq mi,"Towns, GA ","10,670"
80,64.6/sq mi,"Sumter, GA ","31,804"
81,65.5/sq mi,"Camden, GA ","51,193"
82,65.5/sq mi,"Union, GA ","21,553"
83,66.0/sq mi,"Gilmer, GA ","28,441"
84,67.3/sq mi,"Monroe, GA ","26,788"
85,68.8/sq mi,"Harris, GA ","32,539"
86,69.1/sq mi,"Ben Hill, GA ","17,547"
87,70.8/sq mi,"Bryan, GA ","32,185"
88,71.3/sq mi,"Coffee, GA ","42,947"
89,72.8/sq mi,"Jones, GA ","28,783"
90,73.2/sq mi,"Cook, GA ","17,061"
91,73.5/sq mi,"Toombs, GA ","27,272"
92,78.3/sq mi,"Banks, GA ","18,317"
93,79.6/sq mi,"Lee, GA ","28,805"
94,80.9/sq mi,"Mcduffie, GA ","21,563"
95,81.0/sq mi,"Thomas, GA ","44,733"
96,81.2/sq mi,"Pike, GA ","17,821"
97,81.3/sq mi,"Chattooga, GA ","25,484"
98,81.5/sq mi,"Upson, GA ","26,681"
99,82.6/sq mi,"Colquitt, GA ","45,987"
100,82.8/sq mi,"Franklin, GA ","22,051"
101,83.3/sq mi,"Crisp, GA ","23,403"
102,94.9/sq mi,"Dade, GA ","16,533"
103,97.5/sq mi,"Lamar, GA ","18,128"
104,98.5/sq mi,"Madison, GA ","28,142"
105,98.9/sq mi,"Hart, GA ","25,406"
106,100.9/sq mi,"Haralson, GA ","28,563"
107,104.5/sq mi,"Bulloch, GA ","71,940"
108,104.9/sq mi,"Dawson, GA ","22,500"
109,107.0/sq mi,"Liberty, GA ","64,489"
110,108.1/sq mi,"Lumpkin, GA ","30,719"
111,111.1/sq mi,"Effingham, GA ","53,673"
112,113.7/sq mi,"Murray, GA ","39,416"
113,113.9/sq mi,"White, GA ","27,594"
114,124.8/sq mi,"Butts, GA ","23,469"
115,127.0/sq mi,"Pickens, GA ","29,550"
116,132.2/sq mi,"Polk, GA ","41,250"
117,138.3/sq mi,"Glynn, GA ","80,937"
118,139.7/sq mi,"Stephens, GA ","25,741"
119,151.5/sq mi,"Tift, GA ","40,721"
120,153.1/sq mi,"Walker, GA ","68,445"
121,153.3/sq mi,"Troup, GA ","68,375"
122,155.3/sq mi,"Habersham, GA ","43,342"
123,155.5/sq mi,"Gordon, GA ","55,666"
124,171.5/sq mi,"Baldwin, GA ","45,854"
125,177.6/sq mi,"Jackson, GA ","60,928"
126,180.7/sq mi,"Peach, GA ","27,337"
127,181.2/sq mi,"Oconee, GA ","33,769"
128,185.4/sq mi,"Floyd, GA ","96,146"
129,214.4/sq mi,"Bartow, GA ","100,771"
130,220.4/sq mi,"Lowndes, GA ","112,515"
131,222.0/sq mi,"Carroll, GA ","111,872"
132,258.7/sq mi,"Walton, GA ","85,378"
133,280.6/sq mi,"Dougherty, GA ","93,890"
134,294.8/sq mi,"Coweta, GA ","131,419"
135,320.4/sq mi,"Spalding, GA ","63,946"
136,354.3/sq mi,"Whitfield, GA ","103,132"
137,363.6/sq mi,"Newton, GA ","101,503"
138,383.3/sq mi,"Houston, GA ","145,622"
139,399.8/sq mi,"Catoosa, GA ","64,955"
140,430.3/sq mi,"Columbia, GA ","132,362"
141,431.7/sq mi,"Hall, GA ","185,318"
142,435.0/sq mi,"Barrow, GA ","70,873"
143,435.4/sq mi,"Chatham, GA ","275,303"
144,463.1/sq mi,"Paulding, GA ","145,565"
145,510.9/sq mi,"Cherokee, GA ","221,951"
146,541.5/sq mi,"Fayette, GA ","107,930"
147,607.9/sq mi,"Bibb, GA ","155,237"
148,612.4/sq mi,"Richmond, GA ","201,244"
149,640.2/sq mi,"Henry, GA ","209,069"
150,653.0/sq mi,"Rockdale, GA ","86,256"
151,671.7/sq mi,"Douglas, GA ","135,037"
152,765.9/sq mi,"Forsyth, GA ","189,314"
153,897.0/sq mi,"Muscogee, GA ","198,247"
154,988.8/sq mi,"Clarke, GA ","119,681"
155,"1,809.9/sq mi","Fulton, GA ","967,100"
156,"1,830.7/sq mi","Clayton, GA ","264,221"
157,"1,928.0/sq mi","Gwinnett, GA ","842,091"
158,"2,057.7/sq mi","Cobb, GA ","708,920"
159,"2,608.2/sq mi","Dekalb, GA ","707,185"
